CMDLINE /home/shiftpub/miniconda3/envs/amm-env/bin/python3.9 inf_step_exp/dp_approach/full_vec_grid.py
MEM 15580.582031 1750256333.5100
MEM 16358.582031 1750256333.6104
MEM 17136.582031 1750256333.7107
MEM 17918.582031 1750256333.8111
MEM 18696.582031 1750256333.9115
MEM 19478.582031 1750256334.0118
MEM 20258.582031 1750256334.1122
MEM 21026.582031 1750256334.2125
MEM 21790.582031 1750256334.3128
MEM 22572.582031 1750256334.4132
MEM 23350.582031 1750256334.5136
MEM 24128.582031 1750256334.6139
MEM 24908.582031 1750256334.7143
MEM 25688.582031 1750256334.8146
MEM 26470.582031 1750256334.9150
MEM 27252.582031 1750256335.0153
MEM 28028.582031 1750256335.1157
MEM 14361.421875 1750256335.2160
MEM 14369.421875 1750256335.3163
MEM 14377.421875 1750256335.4165
MEM 14383.421875 1750256335.5167
MEM 14391.421875 1750256335.6169
MEM 14399.421875 1750256335.7171
MEM 623.453125 1750256335.8175
MEM 632.285156 1750256335.9178
MEM 622.953125 1750256336.0181
MEM 668.285156 1750256336.1184
MEM 668.285156 1750256336.2187
MEM 632.285156 1750256336.3190
MEM 668.285156 1750256336.4193
MEM 638.285156 1750256336.5195
MEM 668.285156 1750256336.6197
MEM 622.953125 1750256336.7200
MEM 634.285156 1750256336.8202
MEM 646.285156 1750256336.9204
MEM 652.285156 1750256337.0206
MEM 652.285156 1750256337.1208
MEM 654.285156 1750256337.2210
MEM 622.730469 1750256337.3212
MEM 672.835938 1750256337.4215
MEM 924.699219 1750256337.5218
MEM 1594.699219 1750256337.6222
MEM 2264.699219 1750256337.7226
MEM 2934.699219 1750256337.8229
MEM 3604.699219 1750256337.9233
MEM 4276.699219 1750256338.0236
MEM 4944.699219 1750256338.1239
MEM 5614.699219 1750256338.2243
MEM 6284.699219 1750256338.3247
MEM 6946.699219 1750256338.4251
MEM 7618.699219 1750256338.5255
MEM 8286.699219 1750256338.6259
MEM 8958.699219 1750256338.7262
MEM 9626.699219 1750256338.8266
MEM 10296.699219 1750256338.9269
MEM 10966.699219 1750256339.0273
MEM 11636.699219 1750256339.1276
MEM 12304.699219 1750256339.2280
MEM 12974.699219 1750256339.3283
MEM 13640.699219 1750256339.4287
MEM 14304.699219 1750256339.5290
MEM 15066.527344 1750256339.6294
MEM 15848.527344 1750256339.7298
MEM 16626.527344 1750256339.8302
MEM 17408.527344 1750256339.9305
MEM 18186.527344 1750256340.0309
MEM 18966.527344 1750256340.1312
MEM 19744.527344 1750256340.2316
MEM 20524.527344 1750256340.3320
MEM 21304.527344 1750256340.4324
MEM 22086.527344 1750256340.5327
MEM 22864.527344 1750256340.6331
MEM 23644.527344 1750256340.7335
MEM 24426.527344 1750256340.8338
MEM 25204.527344 1750256340.9342
MEM 25986.527344 1750256341.0346
MEM 26764.527344 1750256341.1350
MEM 27540.527344 1750256341.2353
MEM 14362.117188 1750256341.3357
MEM 14370.476562 1750256341.4360
MEM 14378.476562 1750256341.5362
MEM 14384.476562 1750256341.6365
MEM 14392.476562 1750256341.7367
MEM 14400.476562 1750256341.8370
MEM 14406.476562 1750256341.9372
MEM 629.203125 1750256342.0376
MEM 674.230469 1750256342.1379
MEM 664.230469 1750256342.2382
MEM 652.230469 1750256342.3385
MEM 656.230469 1750256342.4388
MEM 644.230469 1750256342.5392
MEM 628.453125 1750256342.6395
MEM 652.230469 1750256342.7398
MEM 648.230469 1750256342.8402
MEM 668.230469 1750256342.9404
MEM 674.230469 1750256343.0454
MEM 652.230469 1750256343.1457
MEM 628.453125 1750256343.2461
MEM 674.230469 1750256343.3464
MEM 658.230469 1750256343.4468
MEM 634.230469 1750256343.5471
MEM 689.835938 1750256343.6475
MEM 662.476562 1750256343.7478
MEM 1326.476562 1750256343.8482
MEM 1994.476562 1750256343.9485
MEM 2666.476562 1750256344.0489
MEM 3334.476562 1750256344.1493
MEM 4002.476562 1750256344.2496
MEM 4672.476562 1750256344.3500
MEM 5340.476562 1750256344.4503
MEM 6008.476562 1750256344.5507
MEM 6666.476562 1750256344.6510
MEM 7334.476562 1750256344.7515
MEM 7992.476562 1750256344.8518
MEM 8660.476562 1750256344.9521
MEM 9330.476562 1750256345.0525
MEM 9996.476562 1750256345.1529
MEM 10666.476562 1750256345.2532
MEM 11336.476562 1750256345.3536
MEM 12006.476562 1750256345.4540
MEM 12672.476562 1750256345.5543
MEM 13332.476562 1750256345.6546
MEM 14002.476562 1750256345.7550
MEM 14720.304688 1750256345.8553
MEM 15504.304688 1750256345.9557
MEM 16286.304688 1750256346.0561
MEM 17066.304688 1750256346.1566
MEM 17846.304688 1750256346.2570
MEM 18624.304688 1750256346.3574
MEM 19400.304688 1750256346.4577
MEM 20176.304688 1750256346.5580
MEM 20958.304688 1750256346.6584
MEM 21730.304688 1750256346.7587
MEM 22510.304688 1750256346.8591
MEM 23290.304688 1750256346.9594
MEM 24072.304688 1750256347.0598
MEM 24850.304688 1750256347.1601
